                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.81349,                0.45344,                0.93435,                0.96169,                0.87358,                0.92043,                0.55852,                 1.1123,                0.52852,                 1.0722,             0.00052827,             0.00052827,             0.00052827
                     72,                0.78745,                 0.4377,                0.94179,                0.96145,                0.87739,                 0.9178,                0.55205,                 1.0999,                0.51307,                 1.0768,             0.00051177,             0.00051177,             0.00051177
                     73,                0.77378,                0.44339,                0.93752,                0.97424,                0.87612,                0.92575,                0.56511,                 1.1092,                0.51375,                 1.0796,             0.00049527,             0.00049527,             0.00049527
                     74,                0.81143,                0.45239,                0.95435,                0.97173,                0.86627,                0.93679,                0.56463,                 1.1551,                 0.5339,                  1.105,             0.00047876,             0.00047876,             0.00047876
                     75,                0.78063,                0.43746,                0.92892,                 0.9507,                0.88602,                0.93315,                 0.5718,                 1.1429,                0.52146,                 1.0973,             0.00046226,             0.00046226,             0.00046226
                     76,                0.78405,                0.43897,                0.96093,                0.96208,                0.86699,                0.93934,                0.55715,                 1.1188,                0.51113,                 1.0805,             0.00044576,             0.00044576,             0.00044576
                     77,                0.74667,                0.42028,                0.92719,                0.95327,                0.86655,                0.93973,                 0.5658,                 1.1105,                 0.5155,                  1.079,             0.00042925,             0.00042925,             0.00042925
                     78,                0.78163,                0.44438,                0.94441,                0.95417,                 0.8595,                0.93498,                0.55092,                 1.1247,                0.51992,                 1.0854,             0.00041275,             0.00041275,             0.00041275
                     79,                0.74237,                0.43053,                 0.9094,                0.96196,                0.85002,                0.93169,                0.55656,                 1.1379,                 0.5156,                 1.0936,             0.00039625,             0.00039625,             0.00039625
                     80,                0.77776,                0.43063,                0.95897,                0.96605,                0.86035,                0.93167,                0.56063,                 1.1331,                0.51545,                 1.0855,             0.00037974,             0.00037974,             0.00037974
                     81,                0.71792,                0.41609,                0.93676,                0.96165,                0.83391,                 0.9297,                0.55556,                 1.1274,                0.51114,                  1.081,             0.00036324,             0.00036324,             0.00036324
                     82,                0.72746,                0.41893,                0.93471,                0.94628,                 0.8427,                0.91626,                0.55398,                 1.1348,                0.51155,                 1.0823,             0.00034674,             0.00034674,             0.00034674
                     83,                0.69602,                0.40159,                0.90683,                0.94762,                0.84455,                0.90796,                0.54498,                 1.1563,                0.52752,                 1.0841,             0.00033023,             0.00033023,             0.00033023
                     84,                0.74668,                0.42473,                0.92976,                0.95619,                0.85414,                0.91074,                0.55334,                 1.1503,                0.51882,                 1.0858,             0.00031373,             0.00031373,             0.00031373
                     85,                0.75116,                0.41124,                0.92634,                0.96909,                0.86812,                0.92052,                0.56202,                 1.1234,                0.50408,                 1.0779,             0.00029723,             0.00029723,             0.00029723
                     86,                0.70394,                0.40232,                0.91848,                0.96582,                0.86964,                0.92155,                  0.568,                 1.1124,                0.50069,                 1.0854,             0.00028072,             0.00028072,             0.00028072
                     87,                0.71886,                0.41142,                0.92531,                0.95186,                0.85495,                 0.9093,                0.56844,                 1.1258,                0.50783,                 1.1033,             0.00026422,             0.00026422,             0.00026422
                     88,                0.67677,                0.40482,                0.90633,                0.94251,                0.85415,                0.91277,                0.57046,                 1.1309,                0.50642,                 1.1062,             0.00024772,             0.00024772,             0.00024772
                     89,                0.65872,                0.36919,                0.89709,                0.94352,                0.85181,                0.90808,                0.57089,                   1.12,                0.49381,                 1.1016,             0.00023121,             0.00023121,             0.00023121
                     90,                0.68365,                0.38576,                0.92096,                 0.9401,                 0.8595,                0.91097,                0.57139,                 1.0911,                0.48361,                 1.0848,             0.00021471,             0.00021471,             0.00021471
